address,country_code,house_number,street,town,state,postal_code,country
"3 CYPRESS COURT, KELVIN HEIGHTS, QUEENSTOWN",NZ,3,CYPRESS COURT,QUEENSTOWN,,,
"7 PROSPECT BANK, WAKARI, DUNEDIN",NZ,7,PROSPECT BANK,DUNEDIN,,,
"7 ASCOG ROAD, RAVENSBOURNE, DUNEDIN",NZ,7,ASCOG ROAD,DUNEDIN,,,
"10 PARK LANE, FAIRFIELD, DUNEDIN",NZ,10,PARK LANE,DUNEDIN,,,
"113 PRESTON CRESCENT, BELLEKNOWES, DUNEDIN",NZ,113,PRESTON CRESCENT,DUNEDIN,,,
"10 BERWICK STREET, MOSGIEL",NZ,10,BERWICK STREET,MOSGIEL,,,
"45 LEWIN STREET, BALCLUTHA",NZ,45,LEWIN STREET,BALCLUTHA,,,
"37 CLIFFS ROAD, SAINT CLAIR, DUNEDIN",NZ,37,CLIFFS ROAD,DUNEDIN,,,
"40 O'NEILLS ROAD, SWANSON, AUCKLAND",NZ,40,O'NEILLS ROAD,AUCKLAND,AUCKLAND,,
"7 CORNWALL STREET, ARROWTOWN",NZ,7,CORNWALL STREET,ARROWTOWN,,,
"300 KAIKORAI VALLEY ROAD, BRADFORD, DUNEDIN",NZ,300,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"56 GILKISON STREET, HALFWAY BUSH, DUNEDIN",NZ,56,GILKISON STREET,DUNEDIN,,,
"545 POMAHAKA DOWNS ROAD, POPOTUNOA, CLINTON",NZ,545,POMAHAKA DOWNS ROAD,CLINTON,,,
"80 WILSON ROAD, BALCLUTHA",NZ,80,WILSON ROAD,BALCLUTHA,,,
"6 MEADOWBROOK PLACE, WANAKA",NZ,6,MEADOWBROOK PLACE,WANAKA,,,
"41 ELDERLEE STREET, MILTON",NZ,41,ELDERLEE STREET,MILTON,,,
"104 RAVENSBOURNE ROAD, RAVENSBOURNE, DUNEDIN",NZ,104,RAVENSBOURNE ROAD,DUNEDIN,,,
"88 CHARLOTTE STREET, BALCLUTHA",NZ,88,CHARLOTTE STREET,BALCLUTHA,,,
"303 LAKEVIEW TERRACE, LAKE HAWEA",NZ,303,LAKEVIEW TERRACE,LAKE HAWEA,,,
