address,country_code,house_number,street,town,state,postal_code,country
"47 REMARKABLES CRESCENT, FRANKTON, QUEENSTOWN",NZ,47,REMARKABLES CRESCENT,QUEENSTOWN,,,
"116 DISTRICT ROAD, GREEN ISLAND, DUNEDIN",NZ,116,DISTRICT ROAD,DUNEDIN,,,
"25 MURE STREET, MOSGIEL",NZ,25,MURE STREET,MOSGIEL,,,
"3 ORME STREET, OUTRAM",NZ,3,ORME STREET,OUTRAM,,,
"55 MULFORD STREET, CONCORD, DUNEDIN",NZ,55,MULFORD STREET,DUNEDIN,,,
"3 BELL STREET, OUTRAM",NZ,3,BELL STREET,OUTRAM,,,
"4 PARK LANE, OMARAMA, OMARAMA",NZ,4,PARK LANE,OMARAMA,,,
"18 TEAL CRESCENT, OMARAMA, OMARAMA",NZ,18,TEAL CRESCENT,OMARAMA,,,
"7 CHICAGO STREET, ALEXANDRA",NZ,7,CHICAGO STREET,ALEXANDRA,,,
"49 BUSHYHILL STREET, TAPANUI",NZ,49,BUSHYHILL STREET,TAPANUI,,,
"528 SOUTH ROAD, CALTON HILL, DUNEDIN",NZ,528,SOUTH ROAD,DUNEDIN,,,
"25 BENMORE PLACE, GLENORCHY",NZ,25,BENMORE PLACE,GLENORCHY,,,
"150 CENTENNIAL AVENUE, ARROWTOWN",NZ,150,CENTENNIAL AVENUE,ARROWTOWN,,,
"311 STUART STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,311,STUART STREET,DUNEDIN,,,
"37 CROMER STREET, BALCLUTHA",NZ,37,CROMER STREET,BALCLUTHA,,,
"25 MCMASTER ROAD, SADDLE HILL, DUNEDIN",NZ,25,MCMASTER ROAD,DUNEDIN,,,
"51 WILLOWRIDGE, WANAKA",NZ,51,WILLOWRIDGE,WANAKA,,,
"22 MAYFIELD AVENUE, WAKARI, DUNEDIN",NZ,22,MAYFIELD AVENUE,DUNEDIN,,,
"35 WAIMEA AVENUE, CALTON HILL, DUNEDIN",NZ,35,WAIMEA AVENUE,DUNEDIN,,,
"90 TENBY STREET, WANAKA",NZ,90,TENBY STREET,WANAKA,,,
"78 GLADSTONE ROAD NORTH, MOSGIEL",NZ,78,GLADSTONE ROAD NORTH,MOSGIEL,,,
"32 WALDRON CRESCENT, GREEN ISLAND, DUNEDIN",NZ,32,WALDRON CRESCENT,DUNEDIN,,,
"85 HAWTHORN AVENUE, MORNINGTON, DUNEDIN",NZ,85,HAWTHORN AVENUE,DUNEDIN,,,
"6 PRIESTLEY PLACE, LEAMINGTON, CAMBRIDGE",NZ,6,PRIESTLEY PLACE,CAMBRIDGE,,,
"125 BAY VIEW ROAD, SOUTH DUNEDIN, DUNEDIN",NZ,125,BAY VIEW ROAD,DUNEDIN,,,
"342 KAIKORAI VALLEY ROAD, BRADFORD, DUNEDIN",NZ,342,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"35 BERKSHIRE STREET, ARROWTOWN",NZ,35,BERKSHIRE STREET,ARROWTOWN,,,
"380 BAY VIEW ROAD, SAINT CLAIR, DUNEDIN",NZ,380,BAY VIEW ROAD,DUNEDIN,,,
"52 EDEN STREET, MOSGIEL",NZ,52,EDEN STREET,MOSGIEL,,,
"68 JOHNSON STREET, MILTON",NZ,68,JOHNSON STREET,MILTON,,,
"152 LONDON STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,152,LONDON STREET,DUNEDIN,,,
"28 NICHOL STREET, LAKE HAWEA",NZ,28,NICHOL STREET,LAKE HAWEA,,,
"63 EGLINTON ROAD, THE GLEN, DUNEDIN",NZ,63,EGLINTON ROAD,DUNEDIN,,,
"9 SCOTLAND STREET, ROXBURGH",NZ,9,SCOTLAND STREET,ROXBURGH,,,
"6 FELS STREET, KENMURE, DUNEDIN",NZ,6,FELS STREET,DUNEDIN,,,
"37 REMARKABLES CRESCENT, FRANKTON, QUEENSTOWN",NZ,37,REMARKABLES CRESCENT,QUEENSTOWN,,,
"35 FOREST STREET, TAPANUI",NZ,35,FOREST STREET,TAPANUI,,,
"153 CORSTORPHINE ROAD, CORSTORPHINE, DUNEDIN",NZ,153,CORSTORPHINE ROAD,DUNEDIN,,,
"8 HOLYHEAD STREET, OUTRAM",NZ,8,HOLYHEAD STREET,OUTRAM,,,
"9 HIGHGROVE, SAINT CLAIR, DUNEDIN",NZ,9,HIGHGROVE,DUNEDIN,,,
"34 PACIFIC STREET, ROSLYN, DUNEDIN",NZ,34,PACIFIC STREET,DUNEDIN,,,
"6A ALLISON AVENUE, MOUNT MAUNGANUI",NZ,6A,ALLISON AVENUE,MOUNT MAUNGANUI,,,
"199 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,199,BROCKVILLE ROAD,DUNEDIN,,,
"127 HIGHGATE, ROSLYN, DUNEDIN",NZ,127,HIGHGATE,DUNEDIN,,,
"25 PUKAPUKA ROAD, HELENA BAY, HIKURANGI",NZ,25,PUKAPUKA ROAD,HIKURANGI,,,
"27 YARMOUTH STREET, BALCLUTHA",NZ,27,YARMOUTH STREET,BALCLUTHA,,,
"9 VANDA PLACE, FERNHILL, QUEENSTOWN",NZ,9,VANDA PLACE,QUEENSTOWN,,,
"17 KINSMAN STREET, KAIKORAI, DUNEDIN",NZ,17,KINSMAN STREET,DUNEDIN,,,
"100 OTAKOU GOLF COURSE ROAD, OTAKOU, DUNEDIN",NZ,100,OTAKOU GOLF COURSE ROAD,DUNEDIN,,,
"211 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,211,MAIN SOUTH ROAD,DUNEDIN,,,
"68 BARNES DRIVE, CAVERSHAM, DUNEDIN",NZ,68,BARNES DRIVE,DUNEDIN,,,
"22 STANSFIELD STREET, KENMURE, DUNEDIN",NZ,22,STANSFIELD STREET,DUNEDIN,,,
"57 FRIENDSHIP DRIVE, WALDRONVILLE, DUNEDIN",NZ,57,FRIENDSHIP DRIVE,DUNEDIN,,,
"388 WAIHOLA HIGHWAY, MILBURN, MILTON",NZ,388,WAIHOLA HIGHWAY,MILTON,,,
"222 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,222,BROCKVILLE ROAD,DUNEDIN,,,
"5 SHERWOOD PLACE, TAPANUI",NZ,5,SHERWOOD PLACE,TAPANUI,,,
"58 BAKER STREET, STIRLING",NZ,58,BAKER STREET,STIRLING,,,
"58 MIDDLETON ROAD, KEW, DUNEDIN",NZ,58,MIDDLETON ROAD,DUNEDIN,,,
"101 DISTRICT ROAD, GREEN ISLAND, DUNEDIN",NZ,101,DISTRICT ROAD,DUNEDIN,,,
"19 BANGOR TERRACE, KEW, DUNEDIN",NZ,19,BANGOR TERRACE,DUNEDIN,,,
"246 HIGH STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,246,HIGH STREET,DUNEDIN,,,
"67 FORFAR STREET, CLYDE HILL, DUNEDIN",NZ,67,FORFAR STREET,DUNEDIN,,,
"101 NEIDPATH ROAD, MORNINGTON, DUNEDIN",NZ,101,NEIDPATH ROAD,DUNEDIN,,,
"27 KING STREET, MOSGIEL",NZ,27,KING STREET,MOSGIEL,,,
"164 ARTHURS POINT ROAD, ARTHURS POINT, QUEENSTOWN",NZ,164,ARTHURS POINT ROAD,QUEENSTOWN,,,
"5 QUAILBURN DRIVE, OMARAMA, OMARAMA",NZ,5,QUAILBURN DRIVE,OMARAMA,,,
"44 RATA STREET, KAKA POINT",NZ,44,RATA STREET,KAKA POINT,,,
"4 HANLON STREET, HALFWAY BUSH, DUNEDIN",NZ,4,HANLON STREET,DUNEDIN,,,
"41 JOE BROWN AVENUE, MOSGIEL",NZ,41,JOE BROWN AVENUE,MOSGIEL,,,
"536 KAIKORAI VALLEY ROAD, KENMURE, DUNEDIN",NZ,536,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"12 BLEDISLOE AVENUE, PUTARURU",NZ,12,BLEDISLOE AVENUE,PUTARURU,,,
"8 CRAMMOND AVENUE, CORSTORPHINE, DUNEDIN",NZ,8,CRAMMOND AVENUE,DUNEDIN,,,
"36 DOUGLAS STREET, FRANKTON, QUEENSTOWN",NZ,36,DOUGLAS STREET,QUEENSTOWN,,,
"28 RALSTON STREET, ALLANTON, MOSGIEL",NZ,28,RALSTON STREET,MOSGIEL,,,
"63 HARGEST CRESCENT, SAINT KILDA, DUNEDIN",NZ,63,HARGEST CRESCENT,DUNEDIN,,,
"69 NEVILLE STREET, SOUTH DUNEDIN, DUNEDIN",NZ,69,NEVILLE STREET,DUNEDIN,,,
"13 WILLIS STREET, TORBAY, AUCKLAND",NZ,13,WILLIS STREET,AUCKLAND,AUCKLAND,,
"170 MELBOURNE STREET, SOUTH DUNEDIN, DUNEDIN",NZ,170,MELBOURNE STREET,DUNEDIN,,,
"99 LONDON STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,99,LONDON STREET,DUNEDIN,,,
"8 ARAWATA TERRACE, FERNHILL, QUEENSTOWN",NZ,8,ARAWATA TERRACE,QUEENSTOWN,,,
"7 CLIFFORD STREET, CLINTON",NZ,7,CLIFFORD STREET,CLINTON,,,
"15 HUMPHREY STREET, FRANKTON, QUEENSTOWN",NZ,15,HUMPHREY STREET,QUEENSTOWN,,,
"350 PORTOBELLO ROAD, THE COVE, DUNEDIN",NZ,350,PORTOBELLO ROAD,DUNEDIN,,,
"221 FLETCHER ROAD, TABLE HILL, MILTON",NZ,221,FLETCHER ROAD,MILTON,,,
"26 KILLARNEY STREET, ALEXANDRA",NZ,26,KILLARNEY STREET,ALEXANDRA,,,
"54 NEPLUSULTRA STREET, CROMWELL",NZ,54,NEPLUSULTRA STREET,CROMWELL,,,
"43 BAKER STREET, CAVERSHAM, DUNEDIN",NZ,43,BAKER STREET,DUNEDIN,,,
"34 MAREWA STREET, KEW, DUNEDIN",NZ,34,MAREWA STREET,DUNEDIN,,,
"26 KIRRIEMUIR STREET, MARYHILL, DUNEDIN",NZ,26,KIRRIEMUIR STREET,DUNEDIN,,,
"39 ROBERTSON STREET, FRANKTON, QUEENSTOWN",NZ,39,ROBERTSON STREET,QUEENSTOWN,,,
"13 HENRY STREET, MAORI HILL, DUNEDIN",NZ,13,HENRY STREET,DUNEDIN,,,
"105 GREENVALE SCHOOL ROAD, GREENVALE, GORE",NZ,105,GREENVALE SCHOOL ROAD,GORE,,,
"3 OBAN STREET, MOSGIEL",NZ,3,OBAN STREET,MOSGIEL,,,
"18 THAMES STREET, MOSGIEL",NZ,18,THAMES STREET,MOSGIEL,,,
"52 MANOR PLACE, DUNEDIN CENTRAL, DUNEDIN",NZ,52,MANOR PLACE,DUNEDIN,,,
"10A EARLS ROAD, SAINT CLAIR, DUNEDIN",NZ,10A,EARLS ROAD,DUNEDIN,,,
"116 GORGE ROAD, QUEENSTOWN",NZ,116,GORGE ROAD,QUEENSTOWN,,,
"20 HAY STREET, QUEENSTOWN",NZ,20,HAY STREET,QUEENSTOWN,,,
"81 WALTON PARK AVENUE, FAIRFIELD, DUNEDIN",NZ,81,WALTON PARK AVENUE,DUNEDIN,,,
"145 GLENFALLOCH ROAD, LOCHINDORB, BALCLUTHA",NZ,145,GLENFALLOCH ROAD,BALCLUTHA,,,
"23 CHRISTCHURCH STREET, KAITANGATA",NZ,23,CHRISTCHURCH STREET,KAITANGATA,,,
"3 THOMSON STREET, LOOKOUT POINT, DUNEDIN",NZ,3,THOMSON STREET,DUNEDIN,,,
"106 NEIDPATH ROAD, MORNINGTON, DUNEDIN",NZ,106,NEIDPATH ROAD,DUNEDIN,,,
"36 LUNDIE STREET, KAIKORAI, DUNEDIN",NZ,36,LUNDIE STREET,DUNEDIN,,,
"19 RICHMOND STREET, FORBURY, DUNEDIN",NZ,19,RICHMOND STREET,DUNEDIN,,,
"149 KELLY JADE AVENUE, MATARANGI, WHITIANGA",NZ,149,KELLY JADE AVENUE,WHITIANGA,,,
"79 VENTRY STREET, ALEXANDRA",NZ,79,VENTRY STREET,ALEXANDRA,,,
"8 CAERNARVON STREET, ARROWTOWN",NZ,8,CAERNARVON STREET,ARROWTOWN,,,
"147 KEMPTHORNE ROAD, HERIOT, TAPANUI",NZ,147,KEMPTHORNE ROAD,TAPANUI,,,
"18 STEPHEN STREET, HALFWAY BUSH, DUNEDIN",NZ,18,STEPHEN STREET,DUNEDIN,,,
"12 KOROMIKO STREET, KAKA POINT",NZ,12,KOROMIKO STREET,KAKA POINT,,,
"46 BULLER CRESCENT, OTEMATATA",NZ,46,BULLER CRESCENT,OTEMATATA,,,
"26 SHOTOVER STREET, QUEENSTOWN",NZ,26,SHOTOVER STREET,QUEENSTOWN,,,
"70 MORNINGTON ROAD, KENMURE, DUNEDIN",NZ,70,MORNINGTON ROAD,DUNEDIN,,,
"1 MELBOURNE STREET, QUEENSTOWN",NZ,1,MELBOURNE STREET,QUEENSTOWN,,,
"20 KINGSTON STREET, ALBERT TOWN, WANAKA",NZ,20,KINGSTON STREET,WANAKA,,,
"24 MITCHELL AVENUE, MARYHILL, DUNEDIN",NZ,24,MITCHELL AVENUE,DUNEDIN,,,
"18 CANTIRE STREET, GLENORCHY",NZ,18,CANTIRE STREET,GLENORCHY,,,
"35 WALTON STREET, KAIKORAI, DUNEDIN",NZ,35,WALTON STREET,DUNEDIN,,,
"378 BAY VIEW ROAD, SAINT CLAIR, DUNEDIN",NZ,378,BAY VIEW ROAD,DUNEDIN,,,
"174 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,174,BROCKVILLE ROAD,DUNEDIN,,,
"16 MARTIN ROAD, FAIRFIELD, DUNEDIN",NZ,16,MARTIN ROAD,DUNEDIN,,,
"7 CARLYLE ROAD, MOSGIEL",NZ,7,CARLYLE ROAD,MOSGIEL,,,
"48 KENMURE ROAD, BELLEKNOWES, DUNEDIN",NZ,48,KENMURE ROAD,DUNEDIN,,,
"9 JEDBURGH STREET, ROXBURGH",NZ,9,JEDBURGH STREET,ROXBURGH,,,
"114 MULFORD STREET, CONCORD, DUNEDIN",NZ,114,MULFORD STREET,DUNEDIN,,,
"41 MURE STREET, MOSGIEL",NZ,41,MURE STREET,MOSGIEL,,,
"67 SPEARGRASS FLAT ROAD, SPEARGRASS FLAT, QUEENSTOWN",NZ,67,SPEARGRASS FLAT ROAD,QUEENSTOWN,,,
"976 HARINGTON POINT ROAD, HARINGTON POINT, DUNEDIN",NZ,976,HARINGTON POINT ROAD,DUNEDIN,,,
"12 TOHILL COURT, ALEXANDRA",NZ,12,TOHILL COURT,ALEXANDRA,,,
"60 MURRAY STREET, KEW, DUNEDIN",NZ,60,MURRAY STREET,DUNEDIN,,,
"23 HIGHGROVE, SAINT CLAIR, DUNEDIN",NZ,23,HIGHGROVE,DUNEDIN,,,
"2 ARROW LANE, ARROWTOWN",NZ,2,ARROW LANE,ARROWTOWN,,,
"64 DERWENT STREET, NASEBY",NZ,64,DERWENT STREET,NASEBY,,,
"17 LOTHIAN STREET, MAORI HILL, DUNEDIN",NZ,17,LOTHIAN STREET,DUNEDIN,,,
"4 CLIFFORD STREET, DALMORE, DUNEDIN",NZ,4,CLIFFORD STREET,DUNEDIN,,,
"17 LEES STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,17,LEES STREET,DUNEDIN,,,
"74 SHETLAND STREET, WAKARI, DUNEDIN",NZ,74,SHETLAND STREET,DUNEDIN,,,
"316 HIGH STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,316,HIGH STREET,DUNEDIN,,,
"29 THE AVENUE, ALBANY, AUCKLAND",NZ,29,THE AVENUE,AUCKLAND,AUCKLAND,,
"34 ELDERLEE STREET, MILTON",NZ,34,ELDERLEE STREET,MILTON,,,
"18 BRIDPORT STREET, KAITANGATA",NZ,18,BRIDPORT STREET,KAITANGATA,,,
"6 CAMP LANE, ARROWTOWN",NZ,6,CAMP LANE,ARROWTOWN,,,
"32 KOREMATA STREET, GREEN ISLAND, DUNEDIN",NZ,32,KOREMATA STREET,DUNEDIN,,,
"54 WALTER STREET, THE GLEN, DUNEDIN",NZ,54,WALTER STREET,DUNEDIN,,,
"175 KINGSEAT ROAD, PATUMAHOE, PUKEKOHE",NZ,175,KINGSEAT ROAD,PUKEKOHE,,,
"111 DALEFIELD ROAD, DALEFIELD, QUEENSTOWN",NZ,111,DALEFIELD ROAD,QUEENSTOWN,,,
"36 SHOTOVER STREET, QUEENSTOWN",NZ,36,SHOTOVER STREET,QUEENSTOWN,,,
"29 RYAN ROAD, KINGSEAT, PUKEKOHE",NZ,29,RYAN ROAD,PUKEKOHE,,,
"24 CRAMMOND AVENUE, CORSTORPHINE, DUNEDIN",NZ,24,CRAMMOND AVENUE,DUNEDIN,,,
"30 CHRISTCHURCH STREET, KAITANGATA",NZ,30,CHRISTCHURCH STREET,KAITANGATA,,,
"50 SPENSER STREET, MILTON",NZ,50,SPENSER STREET,MILTON,,,
"15 BRAEMAR STREET, MOSGIEL",NZ,15,BRAEMAR STREET,MOSGIEL,,,
"247C PUKETOTARA ROAD, WAIPAPA",NZ,247C,PUKETOTARA ROAD,WAIPAPA,,,
"1 FINLAY STREET, ALEXANDRA",NZ,1,FINLAY STREET,ALEXANDRA,,,
"1 SILVERSTREAM DRIVE, MOSGIEL",NZ,1,SILVERSTREAM DRIVE,MOSGIEL,,,
"336 HIGHGATE, ROSLYN, DUNEDIN",NZ,336,HIGHGATE,DUNEDIN,,,
"20 GREGG STREET, ALEXANDRA",NZ,20,GREGG STREET,ALEXANDRA,,,
"57 JEFFERY ROAD, ARROW JUNCTION, QUEENSTOWN",NZ,57,JEFFERY ROAD,QUEENSTOWN,,,
"50 SAUNDERS STREET, BROCKVILLE, DUNEDIN",NZ,50,SAUNDERS STREET,DUNEDIN,,,
"38 KINGSTON STREET, ALBERT TOWN, WANAKA",NZ,38,KINGSTON STREET,WANAKA,,,
"27 MARKET STREET, KAITANGATA",NZ,27,MARKET STREET,KAITANGATA,,,
"117 BOUNDARY STREET, TAPANUI",NZ,117,BOUNDARY STREET,TAPANUI,,,
"43 BEECH STREET, WANAKA",NZ,43,BEECH STREET,WANAKA,,,
"156 HOGANS GULLY ROAD, ARROWTOWN",NZ,156,HOGANS GULLY ROAD,ARROWTOWN,,,
"9 SALISBURY ROAD, BRADFORD, DUNEDIN",NZ,9,SALISBURY ROAD,DUNEDIN,,,
"57 PRESTON CRESCENT, BELLEKNOWES, DUNEDIN",NZ,57,PRESTON CRESCENT,DUNEDIN,,,
"1 LEWIN STREET, BALCLUTHA",NZ,1,LEWIN STREET,BALCLUTHA,,,
"25 KENMURE ROAD, BELLEKNOWES, DUNEDIN",NZ,25,KENMURE ROAD,DUNEDIN,,,
"65 ARONUI ROAD, BRIDGE HILL, ALEXANDRA",NZ,65,ARONUI ROAD,ALEXANDRA,,,
"18 ARTHUR ROAD, OWAKA",NZ,18,ARTHUR ROAD,OWAKA,,,
"13 SANDOWN STREET, WAIHOLA, MILTON",NZ,13,SANDOWN STREET,MILTON,,,
"7 ARRAN STREET, MOSGIEL",NZ,7,ARRAN STREET,MOSGIEL,,,
"3 SUNRISE LANE, QUEENSTOWN",NZ,3,SUNRISE LANE,QUEENSTOWN,,,
"15 CHERRY DRIVE, MOSGIEL",NZ,15,CHERRY DRIVE,MOSGIEL,,,
"11 PREMIER PLACE, ARROWTOWN",NZ,11,PREMIER PLACE,ARROWTOWN,,,
"2 CORNWALL STREET, ARROWTOWN",NZ,2,CORNWALL STREET,ARROWTOWN,,,
"61 HOPKINS STREET, LUGGATE, WANAKA",NZ,61,HOPKINS STREET,WANAKA,,,
"1133 WAITAHUNA WEST ROAD, WAITAHUNA WEST, LAWRENCE",NZ,1133,WAITAHUNA WEST ROAD,LAWRENCE,,,
"61 BEACH STREET, QUEENSTOWN",NZ,61,BEACH STREET,QUEENSTOWN,,,
"142 DALEFIELD ROAD, DALEFIELD, QUEENSTOWN",NZ,142,DALEFIELD ROAD,QUEENSTOWN,,,
"17 FRASER AVENUE, RANFURLY",NZ,17,FRASER AVENUE,RANFURLY,,,
"20 HARGEST CRESCENT, SAINT KILDA, DUNEDIN",NZ,20,HARGEST CRESCENT,DUNEDIN,,,
"5 EDITH STREET, FAIRFIELD, DUNEDIN",NZ,5,EDITH STREET,DUNEDIN,,,
"47 PLAYFAIR STREET, CAVERSHAM, DUNEDIN",NZ,47,PLAYFAIR STREET,DUNEDIN,,,
"59 BERESFORD STREET, WAKARI, DUNEDIN",NZ,59,BERESFORD STREET,DUNEDIN,,,
"203 FERNHILL ROAD, FERNHILL, QUEENSTOWN",NZ,203,FERNHILL ROAD,QUEENSTOWN,,,
"73 WALDING STREET, PALMERSTON NORTH",NZ,73,WALDING STREET,PALMERSTON NORTH,,,
"77 CLERMISTON AVENUE, CORSTORPHINE, DUNEDIN",NZ,77,CLERMISTON AVENUE,DUNEDIN,,,
"72 MCDOUGALL STREET, WANAKA",NZ,72,MCDOUGALL STREET,WANAKA,,,
"14 TORBAY AVENUE, HUNTINGDON, ASHBURTON",NZ,14,TORBAY AVENUE,ASHBURTON,,,
"11 ATHOL PLACE, RAVENSBOURNE, DUNEDIN",NZ,11,ATHOL PLACE,DUNEDIN,,,
"25 SUTCLIFFE STREET, SAINT CLAIR, DUNEDIN",NZ,25,SUTCLIFFE STREET,DUNEDIN,,,
"11 REDWOOD LANE, WANAKA",NZ,11,REDWOOD LANE,WANAKA,,,
"6 BURGESS STREET, GREEN ISLAND, DUNEDIN",NZ,6,BURGESS STREET,DUNEDIN,,,
"21 BENNETT ROAD, OCEAN VIEW, DUNEDIN",NZ,21,BENNETT ROAD,DUNEDIN,,,
"31 MARSLIN STREET, ALEXANDRA",NZ,31,MARSLIN STREET,ALEXANDRA,,,
"18 PARK STREET, QUEENSTOWN",NZ,18,PARK STREET,QUEENSTOWN,,,
"13 STAFFORD STREET, RANFURLY",NZ,13,STAFFORD STREET,RANFURLY,,,
"7 CLEMATIS COURT, WANAKA",NZ,7,CLEMATIS COURT,WANAKA,,,
"3 JUNCTION COURT, CROMWELL",NZ,3,JUNCTION COURT,CROMWELL,,,
"4/11 COURTENAY PLACE, TE ARO, WELLINGTON",NZ,4/11,COURTENAY PLACE,WELLINGTON,,,
"128 FITZROY STREET, FORBURY, DUNEDIN",NZ,128,FITZROY STREET,DUNEDIN,,,
"34 PANMURE AVENUE, CALTON HILL, DUNEDIN",NZ,34,PANMURE AVENUE,DUNEDIN,,,
"24 MCBRIDE STREET, FRANKTON, QUEENSTOWN",NZ,24,MCBRIDE STREET,QUEENSTOWN,,,
"90 GREENOCK STREET, KAIKORAI, DUNEDIN",NZ,90,GREENOCK STREET,DUNEDIN,,,
"22 TRAVIS STREET, BROCKVILLE, DUNEDIN",NZ,22,TRAVIS STREET,DUNEDIN,,,
"6 CARNOCK ROAD, HARWOOD, DUNEDIN",NZ,6,CARNOCK ROAD,DUNEDIN,,,
"113 PEGASUS BOULEVARD, PEGASUS",NZ,113,PEGASUS BOULEVARD,PEGASUS,,,
"13 STRATHMORE CRESCENT, ROSLYN, DUNEDIN",NZ,13,STRATHMORE CRESCENT,DUNEDIN,,,
"57 EASTHER CRESCENT, KEW, DUNEDIN",NZ,57,EASTHER CRESCENT,DUNEDIN,,,
"36 PARSONAGE ROAD, LAWRENCE",NZ,36,PARSONAGE ROAD,LAWRENCE,,,
"31 ST ALBANS STREET, KAITANGATA",NZ,31,ST ALBANS STREET,KAITANGATA,,,
"29 RIVERBANK ROAD, WANAKA",NZ,29,RIVERBANK ROAD,WANAKA,,,
"62 GORDON ROAD, MOSGIEL",NZ,62,GORDON ROAD,MOSGIEL,,,
"62 STANLEY STREET, QUEENSTOWN",NZ,62,STANLEY STREET,QUEENSTOWN,,,
"108 MORNINGTON ROAD, KENMURE, DUNEDIN",NZ,108,MORNINGTON ROAD,DUNEDIN,,,
"3 MARY STREET, CONCORD, DUNEDIN",NZ,3,MARY STREET,DUNEDIN,,,
"94 SCOTLAND STREET, ROXBURGH",NZ,94,SCOTLAND STREET,ROXBURGH,,,
"19 EMERSON STREET, CONCORD, DUNEDIN",NZ,19,EMERSON STREET,DUNEDIN,,,
"511 SEDDON HILL ROAD, TAPANUI",NZ,511,SEDDON HILL ROAD,TAPANUI,,,
"12 MCGEORGE AVENUE, MORNINGTON, DUNEDIN",NZ,12,MCGEORGE AVENUE,DUNEDIN,,,
"70 ARGYLE STREET, MOSGIEL",NZ,70,ARGYLE STREET,MOSGIEL,,,
"9 NORRIE WAY, KAIAPOI",NZ,9,NORRIE WAY,KAIAPOI,,,
"135 MAIN ROAD, FAIRFIELD, DUNEDIN",NZ,135,MAIN ROAD,DUNEDIN,,,
"204 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,204,BROCKVILLE ROAD,DUNEDIN,,,
"59 ARDMORE STREET, WANAKA",NZ,59,ARDMORE STREET,WANAKA,,,
"144 SLOPEHILL ROAD, LAKE HAYES, QUEENSTOWN",NZ,144,SLOPEHILL ROAD,QUEENSTOWN,,,
"15 QUARRY ROAD, MOSGIEL",NZ,15,QUARRY ROAD,MOSGIEL,,,
"37 MARSLIN STREET, ALEXANDRA",NZ,37,MARSLIN STREET,ALEXANDRA,,,
"149 VICTORIA ROAD, SAINT CLAIR, DUNEDIN",NZ,149,VICTORIA ROAD,DUNEDIN,,,
"58 ARDMORE STREET, WANAKA",NZ,58,ARDMORE STREET,WANAKA,,,
"47 MOUNTAIN VIEW ROAD, DALEFIELD, QUEENSTOWN",NZ,47,MOUNTAIN VIEW ROAD,QUEENSTOWN,,,
"24 INGLIS STREET, MOSGIEL",NZ,24,INGLIS STREET,MOSGIEL,,,
"319 BROCKVILLE ROAD, BROCKVILLE, DUNEDIN",NZ,319,BROCKVILLE ROAD,DUNEDIN,,,
"28 HOLIDAY DRIVE, MAIREHAU, CHRISTCHURCH",NZ,28,HOLIDAY DRIVE,CHRISTCHURCH,,,
"17 WALLACE CRESCENT, GLENHOLME, ROTORUA",NZ,17,WALLACE CRESCENT,ROTORUA,,,
"2 ABBOTSFORD STREET, ROXBURGH",NZ,2,ABBOTSFORD STREET,ROXBURGH,,,
"4 ARGYLE STREET, BALCLUTHA",NZ,4,ARGYLE STREET,BALCLUTHA,,,
"17 ORAM DRIVE, TURITEA, PALMERSTON NORTH",NZ,17,ORAM DRIVE,PALMERSTON NORTH,,,
"33 ASHMORE STREET, HALFWAY BUSH, DUNEDIN",NZ,33,ASHMORE STREET,DUNEDIN,,,
"158 MELBOURNE STREET, SOUTH DUNEDIN, DUNEDIN",NZ,158,MELBOURNE STREET,DUNEDIN,,,
"12 THOMAS STREET, SOUTH DUNEDIN, DUNEDIN",NZ,12,THOMAS STREET,DUNEDIN,,,
"44A NEWPORT STREET, BELLEKNOWES, DUNEDIN",NZ,44A,NEWPORT STREET,DUNEDIN,,,
"68 WISELEY ROAD, WEST HARBOUR, AUCKLAND",NZ,68,WISELEY ROAD,AUCKLAND,AUCKLAND,,
"8 BALMACEWEN ROAD, MAORI HILL, DUNEDIN",NZ,8,BALMACEWEN ROAD,DUNEDIN,,,
"64A BILLS WAY, WANAKA",NZ,64A,BILLS WAY,WANAKA,,,
"16 FOREST STREET, TAPANUI",NZ,16,FOREST STREET,TAPANUI,,,
"112 ROSEBANK AVENUE, WAKARI, DUNEDIN",NZ,112,ROSEBANK AVENUE,DUNEDIN,,,
"37 WHARETOA ROAD, WHARETOA, CLYDEVALE",NZ,37,WHARETOA ROAD,CLYDEVALE,,,
"37 CRAMMOND AVENUE, CORSTORPHINE, DUNEDIN",NZ,37,CRAMMOND AVENUE,DUNEDIN,,,
"298 MILTON HIGHWAY, BALCLUTHA",NZ,298,MILTON HIGHWAY,BALCLUTHA,,,
"1 CAPELL AVENUE, LAKE HAWEA",NZ,1,CAPELL AVENUE,LAKE HAWEA,,,
